eventid,iyear,imonth,month_txt,iday,date,country_txt,region_txt,provstate,city,latitude,longitude,multiple,success,suicide,suicide_txt,attacktype1_txt,targtype1_txt,target1,weaptype1_txt,nkill
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Kapisa,Nijrab district,34.966667,69.566667,0,1,0,No,Assassination,Private Citizens & Property,Vehicle of Former Hizb-i-Islami Commander: Mohammad Omar,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,0,1,0,No,Unknown,Military,Soldier,Unknown,1
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Herat,Koshki Kohna district,34.87048,62.50668,0,0,0,No,Armed Assault,Military,Convoy,Firearms,6
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Zabul,Shahjoy district,32.519241,67.416481,0,1,1,Yes,Bombing/Explosion,Unknown,Unknown,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,Algeria,Middle East & North Africa,Blida,Mouzaia,36.466727,2.689879,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,United States,North America,Illinois,Chicago,41.842602,-87.681229,0,1,0,No,Hostage Taking (Kidnapping),Private Citizens & Property,Civilian,Melee,0
2.02E+11,2017,1,Jan,2,2/01/2017,Philippines,Southeast Asia,Zamboanga Sibugay,Basalem,7.740712,123.076513,0,0,0,No,Assassination,Government (General),Vehicle of Mayor: Eugenio Salva Jr.,Firearms,0
2.02E+11,2017,1,Jan,2,2/01/2017,India,South Asia,Tamil Nadu,Alangulam,8.864636,77.496008,0,1,0,No,Assassination,Government (General),Former Councilor: A. Mohan Raj,Firearms,1
2.02E+11,2017,1,Jan,3,3/01/2017,Greece,Western Europe,Attica,Athens,37.99749,23.762728,0,1,0,No,Bombing/Explosion,Government (General),National Actuarial Authority President: Efrosini Kouskouna,Explosives,0
2.02E+11,2017,1,Jan,2,2/01/2017,India,South Asia,Manipur,Unknown,24.663717,93.906269,0,1,0,No,Unknown,Military,Soldiers,Unknown,3
2.02E+11,2017,1,Jan,2,2/01/2017,Mali,Sub-Saharan Africa,Mopti,Boni,15.075,-2.221111,0,0,0,No,Armed Assault,Military,Camel Corp Checkpoint,Firearms,0
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Saladin,Shirqat district,35.466624,43.238815,0,1,0,No,Unknown,Military,Soldiers,Unknown,3
2.02E+11,2017,1,Jan,3,3/01/2017,Yemen,Middle East & North Africa,Abyan,Lawdar district,13.883333,45.866667,0,1,0,No,Armed Assault,Military,Vehicles,Firearms,2
2.02E+11,2017,1,Jan,3,3/01/2017,Pakistan,South Asia,Khyber Pakhtunkhwa,Khazana,34.075466,71.599998,0,1,0,No,Armed Assault,Police,Officer: Zarnosh Khan,Firearms,1
2.02E+11,2017,1,Jan,3,3/01/2017,Libya,Middle East & North Africa,Sirte,Unknown,31.164289,16.887761,0,1,1,Yes,Bombing/Explosion,Religious Figures/Institutions,Mosque,Explosives,1
2.02E+11,2017,1,Jan,3,3/01/2017,Pakistan,South Asia,Balochistan,Kech district,25.530286,63.415847,0,1,0,No,Armed Assault,Business,Construction Site,Firearms,0
2.02E+11,2017,1,Jan,3,3/01/2017,Philippines,Southeast Asia,Basilan,Unknown,6.741797,122.398145,0,0,0,No,Hijacking,Maritime,Ocean Kingdom Merchant Vessel,Firearms,0
2.02E+11,2017,1,Jan,3,3/01/2017,Central African Republic,Sub-Saharan Africa,Haut-Mbomou,Unknown,6.253713,25.473355,0,1,0,No,Unknown,Government (Diplomatic),Convoy,Unknown,2
2.02E+11,2017,1,Jan,3,3/01/2017,Central African Republic,Sub-Saharan Africa,Ouham-Pende,Bokaya,6.879722,15.554444,0,1,0,No,Armed Assault,Government (Diplomatic),Convoy,Firearms,1
2.02E+11,2017,1,Jan,3,3/01/2017,Egypt,Middle East & North Africa,Faiyum,Ibsheway,29.360998,30.68244,0,1,0,No,Armed Assault,Police,Vehicle,Firearms,1
2.02E+11,2017,1,Jan,3,3/01/2017,India,South Asia,Bihar,Salakhani,25.749567,86.006417,0,1,0,No,Assassination,Journalists & Media,Journalist: Braj Kumar Singh,Firearms,1
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Balkh,Qadim,36.370146,66.891581,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Market,Explosives,2
