eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,location,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,claimed,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,dbsource
2.01701E+11,2017,1,2,Pakistan,South Asia,Balochistan,Kanri,28.776834,68.381625,The incident occurred in Nasirabad district.,1,1,0,3,Bombing/Explosion,Transportation,Bus (excluding tourists),Unknown,Bus,Pakistan,Unknown,0,0,Explosives,8,Landmine,0,START Primary Collection
2.01701E+11,2017,1,2,Pakistan,South Asia,Balochistan,Chattar,28.776834,68.381625,The incident occurred in Nasirabad district.,1,1,0,3,Bombing/Explosion,Private Citizens & Property,Farmer,Not Applicable,Tractor-Trolley,Pakistan,Unknown,0,0,Explosives,8,Landmine,0,START Primary Collection
2.01701E+11,2017,1,2,Afghanistan,South Asia,Logar,Mohammad Agha district,34.214801,69.098513,The incident occurred between the Kandhario and Surkhab areas.,0,1,0,3,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,Afghanistan,Unknown,0,0,Explosives,16,Unknown Explosive Type,1,START Primary Collection
2.01701E+11,2017,1,2,Myanmar,Southeast Asia,Rakhine,Ponnagyun,20.3335,93.003812,The incident occurred in Sittwe district.,0,1,0,3,Bombing/Explosion,Unknown,,Unknown,Unknown,Myanmar,Unknown,0,0,Explosives,8,Landmine,0,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,The incident occurred in the Yarmijah neighborhood.,0,0,1,3,Bombing/Explosion,Unknown,,Unknown,Unknown,Iraq,Unknown,0,0,Explosives,15,Vehicle,10,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Saladin,Shirqat,35.499439,43.234894,,1,1,0,3,Bombing/Explosion,Private Citizens & Property,Village/City/Town/Suburb,Shirqat Town,Town,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",2,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Sadr City neighborhood.,0,1,1,3,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Unknown,Square,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,15,Vehicle,36,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Al-Kendi hospital area.,0,1,0,3,Bombing/Explosion,Business,Medical/Pharmaceutical,Kendi Hospital,Car Park,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,15,Vehicle,0,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Zafraniya area of the Karada neighborhood.,0,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Iraq,Unknown,0,0,Explosives,15,Vehicle,2,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Baladiat area of the 9 Nissan neighborhood.,0,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,29,Sticky Bomb,1,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Sadr City neighborhood.,0,1,0,3,Bombing/Explosion,Business,Medical/Pharmaceutical,al-Jawader Hospital,Hospital,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,16,Unknown Explosive Type,0,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,The incident occurred in the Dakhliyah neighborhood.,0,1,0,3,Bombing/Explosion,Religious Figures/Institutions,Religious Figure,Unknown,Sunni Cleric: Sheikh Mahdi al-Sumaida'i,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Explosives,15,Vehicle,1,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,,1,1,0,9,Unknown,Military,Military Barracks/Base/Headquarters/Checkpost,Iraqi Army,Barracks,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Unknown,,,4,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,,1,1,0,2,Armed Assault,Terrorists/Non-State Militia,Non-State Militia,Unknown,Tribal Fighters,Iraq,Unknown,0,0,Firearms,5,Unknown Gun Type,9,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,,1,1,0,2,Armed Assault,Terrorists/Non-State Militia,Non-State Militia,Unknown,Tribal Fighters,Iraq,Unknown,0,0,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",3,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,The incident occurred in the Mutasim neighborhood.,1,1,1,3,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Iraqi Police Service (IPS),al-Imam Police Station,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,13,Suicide (carried bodily by human being),6,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,The incident occurred in the Mutasim neighborhood.,1,1,1,3,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Iraqi Police Service (IPS),al-Mutawakil Police Station,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,13,Suicide (carried bodily by human being),5,START Primary Collection
2.01701E+11,2017,1,2,Burundi,Sub-Saharan Africa,Bujumbura Rural,Unknown,-3.509014,29.464359,,0,1,0,6,Hostage Taking (Kidnapping),Violent Political Party,Party Official/Candidate/Other Personnel,National Liberation Front (FNL),Local Representative: Alexis Nsabimana,Burundi,Unknown,0,0,Firearms,5,Unknown Gun Type,,START Primary Collection
2.01701E+11,2017,1,2,Afghanistan,South Asia,Kapisa,Nijrab district,34.966667,69.566667,The incident occurred in the Dara-e Ghows area.,0,1,0,1,Assassination,Private Citizens & Property,Laborer (General)/Occupation Identified,Not Applicable,Vehicle of Former Hizb-i-Islami Commander: Mohammad Omar,Afghanistan,Unknown,0,0,Explosives,8,Landmine,1,START Primary Collection
2.01701E+11,2017,1,2,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in the Yaqshid neighborhood.,0,1,0,9,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",Somali Armed Forces (SAF),Soldier,Somalia,Al-Shabaab,0,0,Unknown,,,1,START Primary Collection
2.01701E+11,2017,1,2,Afghanistan,South Asia,Herat,Koshki Kohna district,34.87048,62.50668,The incident occurred in the Koh-i-Antan area of the Qalamin area.,0,0,0,2,Armed Assault,Military,Military Unit/Patrol/Convoy,Afghan National Security Force (ANSF),Convoy,Afghanistan,Taliban,0,0,Firearms,5,Unknown Gun Type,6,START Primary Collection
2.01701E+11,2017,1,2,Afghanistan,South Asia,Zabul,Shahjoy district,32.519241,67.416481,,0,1,1,3,Bombing/Explosion,Unknown,,Unknown,Unknown,,Unknown,0,0,Explosives,13,Suicide (carried bodily by human being),1,START Primary Collection
2.01701E+11,2017,1,2,Algeria,Middle East & North Africa,Blida,Mouzaia,36.466727,2.689879,,0,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Algeria,Unknown,0,0,Explosives,17,Other Explosive Type,1,START Primary Collection
2.01701E+11,2017,1,2,United States,North America,Illinois,Chicago,41.842602,-87.681229,The incident occurred on the West Side.,0,1,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilian,United States,Anti-White extremists,0,1,Melee,23,Knife or Other Sharp Object,0,START Primary Collection
